ingredientId,ingredientName,decision,gramsPerCup,gramsPerEach,fdcId,usdaDescription,note
c0199008-0dcf-4681-a250-893484f1c8a7,80/20 ground beef,MISS,,,174036,"Beef, ground, 80% lean meat / 20% fat, raw",no cup/each portion
3c25346e-19d8-43df-950a-178dbb0406ef,adobo sauce,MISS,,,,,no curated + no usda match
a8c608eb-aef0-40a7-a3cc-598c38f445ff,all-beef hot dog,MISS,,,,,no curated + no usda match
9de0d54d-e301-4509-85fb-4722c49ca6d4,all-purpose flour,CURATED,,,,,curated
16bf6c82-14f3-4c03-acbe-7e71e13f3039,american cheese,MISS,,,747429,,usda fetch unavailable
59f09126-8f75-424e-afd0-4c3fa2d759fe,anchovy fillet,MISS,,,,,no curated + no usda match
d6b9e626-ea5b-4459-ad40-b807286b87ef,angel hair pasta,USDA_DERIVED,64,,169736,"Pasta, dry, enriched",
f1c509bb-0198-40b9-815b-7c06d10a63f2,apple cider vinegar,USDA_DERIVED,239,,173469,"Vinegar, cider",
f4218e7c-4ff8-45e6-8398-2bc127d93a0e,apples,MISS,,,174988,"Croissants, apple","form mismatch: Croissants, apple"
cf277eec-4715-4c0d-84a8-bd7a2acfdfa8,applewood smoking chips,MISS,,,,,no curated + no usda match
11afb0dc-2cd7-4e72-9427-800958b318b6,asparagus,USDA_DERIVED,134,16,168389,"Asparagus, raw",
b7425a8e-6692-4d4a-b07a-514eca487056,avocado,MISS,,,173573,"Oil, avocado","form mismatch: Oil, avocado"
23d9798e-7b8f-452a-8241-a4810705882b,baby arugula,MISS,,,,,no curated + no usda match
f486b7e2-fb54-43db-89e0-27af6f7eb7e2,baby back pork ribs,MISS,,,,,no curated + no usda match
cfb99073-94bd-414c-afe2-baf724d9fcfc,baby carrot,USDA_DERIVED,,10,168568,"Carrots, baby, raw",
b96171ad-3a06-496f-b092-d7f513066aff,baby potato,MISS,,,,,no curated + no usda match
b9f90c34-f963-4a43-aedd-553af1b98e7f,baby spinach,MISS,,,,,no curated + no usda match
971d1b65-ad8f-4156-ada7-50980b2408ed,baby yellow potato,MISS,,,,,no curated + no usda match
3a55d9bc-49b6-442f-843a-16f66c111353,baby yukon gold potato,MISS,,,,,no curated + no usda match
36becf24-3b73-4df3-95f6-2e669095de16,bacon,CURATED,,,,,curated
f8ed1594-d084-4967-8fde-15ea196e88b0,bagels,USDA_DERIVED,,105,174901,"Bagels, egg",
d5deeec4-08a6-4d13-9fb6-4f8381af6d90,baguette,MISS,,,,,no curated + no usda match
6fb9eb28-0cf9-4aa7-b44c-bcfa167313ae,balsamic vinegar,USDA_DERIVED,255,,172241,"Vinegar, balsamic",
9660aa49-438b-4058-8c6c-2da896287226,bananas,CURATED,,,,,curated
9284298b-6d50-45a9-ad94-3253b9b2eb32,barbecue sauce,USDA_DERIVED,279,,174523,"Sauce, barbecue",
dd5bac34-6412-47d9-902e-357cb61cdf9e,basmati rice,CURATED,,,,,curated
c72613c4-1eba-4d4b-8b07-b36064e51cf5,bay leaf,MISS,,,170917,"Spices, bay leaf","form mismatch: Spices, bay leaf"
92272599-a3dc-42f7-9235-5b0a7aa6f67b,bay leaves,MISS,,,170917,"Spices, bay leaf","form mismatch: Spices, bay leaf"
c2ffeff8-e96a-4299-9771-68802d3143d9,bbq sauce,MISS,,,,,no curated + no usda match
6a7d7f26-2f80-471a-bee2-ccbaafae9710,bean sprouts,CURATED,,,,,curated
a4065ed8-3a25-4505-95d1-e1f57706462a,beef brisket flat,MISS,,,168658,"Beef, brisket, flat half, boneless, separable lean only, trimmed to 0"" fat, select, raw",no cup/each portion
465709f9-c999-4a56-a826-d352cbaab93b,beef broth,MISS,,,171561,"Soup, beef broth, cubed, dry","form mismatch: Soup, beef broth, cubed, dry"
2db7c24e-8012-4c01-b8aa-80e4b2ab74f4,beef chuck roast,MISS,,,169496,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted",no cup/each portion
370f00ee-c7e5-4a47-94a5-da3ca41dac75,beef hot dogs,MISS,,,323121,,usda fetch unavailable
b0d80843-4713-4068-955e-8dc26b855fa1,beef sirloin,MISS,,,169458,"Beef, top sirloin, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled",no cup/each portion
512b543f-1882-4b52-8e8b-136dc6ad67b5,beef sirloin steak tips,MISS,,,174024,"Beef, loin, bottom sirloin butt, tri-tip steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",no cup/each portion
739946bb-765b-42cc-b660-d9c6512cd4a5,beef stock,MISS,,,172883,"Soup, stock, beef, home-prepared","form mismatch: Soup, stock, beef, home-prepared"
ecaf6983-7955-4dc3-b631-e923f93a1878,beef strip steak,MISS,,,169429,"Beef, grass-fed, strip steaks, lean only, raw",no cup/each portion
a5a4cc90-0e44-4e35-a394-3f7ec6e8cbb1,beefsteak tomato,MISS,,,,,no curated + no usda match
af9f97f5-87d5-4017-80cd-ba82b2a867c2,beets,USDA_DERIVED,136,,169145,"Beets, raw",
b8346d79-b5a6-4537-98ce-5b903d36118e,bell peppers,CURATED,,,,,curated
0c4cb179-526e-483d-a228-6796ea4fda9e,black beans,USDA_DERIVED,194,,173734,"Beans, black, mature seeds, raw",
57c876d1-6780-4cc6-994a-efd4a0f1dd53,black forest ham,MISS,,,170712,"SUBWAY, black forest ham sub on white bread with lettuce and tomato","form mismatch: SUBWAY, black forest ham sub on white bread with lettuce and tomato"
5239a6f5-25a5-4b8a-a83a-1cddcb4b86af,black pepper,CURATED,,,,,curated
220cfce9-04e0-4afe-82dc-0efec673e944,black peppercorn,MISS,,,,,no curated + no usda match
4b8ca960-7dde-4f23-8443-9f102db3c8fe,blueberries,USDA_DERIVED,148,,171711,"Blueberries, raw",
d89d1028-18f0-4640-9829-ba307ed778f5,bone-in beef chuck roast,MISS,,,,,no curated + no usda match
6b37f00b-ccab-4f79-807c-b9f5e4f335f1,bone-in beef short ribs,MISS,,,,,no curated + no usda match
4d4e1ec7-ed22-4232-9142-7ab40c7513f1,bone-in pork chops,MISS,,,168238,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, raw",no cup/each portion
51b4cd3f-3f4e-4db0-8949-83fae51800e9,bone-in pork shoulder,MISS,,,167843,"Pork, fresh, shoulder, whole, separable lean and fat, raw",no cup/each portion
f320cc23-f85e-416b-97d0-c08158de434b,bone-in ribeye steak,MISS,,,,,no curated + no usda match
