row_kind,family,name_a,name_b,residue_reason,first_label,first_confidence,first_reason,arbiter_label,arbiter_confidence,arbiter_reason,base_is,yield_qty,yield_unit,co_harvestable,contradiction_detail,hans_verdict,hans_notes
TO_HUMAN,pasta_noodle,fresh ramen noodles,ramen noodles,confidence_low,SUBSUMES,low,"""ramen noodles"" is unqualified and covers fresh, dried and instant; ""fresh ramen noodles"" is one specific form. Second name is the generic, though bare ramen is sometimes read as instant.",STILL_UNSURE,low,"Bare ""ramen noodles"" is genuinely two-way ambiguous: in much US recipe usage it means the instant dried brick (a distinct product from fresh ramen), while in other usage it is the open generic spanning fresh/dried/instant. Whether this is SUBSUMES or DISTINCT depends on which sense the source intends, and neither name carries that fact.",,,,,,,
TO_HUMAN,pickle_brine,pickled ginger,pickled ginger (beni shoga),confidence_low,SUBSUMES,low,"Beni shoga is a specific type of pickled ginger; bare 'pickled ginger' is unqualified, though in practice it often defaults to gari, which makes the direction debatable.",STILL_UNSURE,low,"Beni shoga (red, salt-plum-brined shredded ginger) and gari (sweet sushi ginger) are separate products on the shelf, and bare 'pickled ginger' usually defaults to gari — which would make these siblings/DISTINCT — yet the parenthetical reads as a gloss making them one item. The names alone do not settle which reading applies.",,,,,,,
TO_HUMAN,root_veg,medium carrots,shredded carrots,confidence_medium,DISTINCT,medium,Size qualifier versus prep-form qualifier — different axes.,STILL_UNSURE,low,arbiter returned no verdict for this pair,,,,,,,
TO_HUMAN,root_veg,sliced radishes,thinly sliced radish,confidence_medium,SYNONYM,medium,"Both are the same radishes sliced; thickness is a prep detail, not a different purchase.",STILL_UNSURE,low,arbiter returned no verdict for this pair,,,,,,,
SPOTCHECK,pork,bulk italian sausage,italian sausage,auto_accepted,SUBSUMES,high,"""Italian sausage"" is the bare generic; bulk specifies loose form. Second name is generic.",SUBSUMES,high,'Italian sausage' is the bare generic on the form axis; 'bulk' fixes loose sausage rather than links.,,,,,,,
SPOTCHECK,salsa,chunky salsa,salsa,auto_accepted,SUBSUMES,high,"""salsa"" is the bare generic; ""chunky salsa"" fixes texture. A shopper needing salsa is served by chunky salsa, not conversely. Second name is the generic.",SUBSUMES,high,"""Salsa"" is the bare generic; ""chunky salsa"" fixes texture (vs. smooth/restaurant-style). A shopper needing salsa is served by chunky salsa, not conversely. Second name is the generic.",,,,,,,
SPOTCHECK,rice_grain,dried rice noodles,wide dried rice noodles (sen yai),auto_accepted,SUBSUMES,high,'dried rice noodles' is bare on width; wide sen yai is a specific kind.,SUBSUMES,high,'dried rice noodles' is bare on width; wide dried sen yai is a specific kind of dried rice noodle.,,,,,,,
SPOTCHECK,rice_grain,long-grain brown rice,long-grain white rice,auto_accepted,DISTINCT,high,Brown versus white milling; two different bags.,DISTINCT,high,Brown versus white milling — two different bags with different cooking behaviour.,,,,,,,
SPOTCHECK,greens,fresh lacinato kale,lacinato kale,auto_accepted,SYNONYM,high,"Lacinato kale is sold fresh by default; ""fresh"" adds nothing.",SYNONYM,high,"Lacinato (dinosaur) kale is only sold fresh in the produce section; ""fresh"" adds no purchase distinction.",,,,,,,
SPOTCHECK,chili,pinch of kashmiri red chili powder,red chili,auto_accepted,DISTINCT,high,Ground kashmiri powder vs a whole chile: separate purchases.,DISTINCT,high,Ground kashmiri powder versus a whole fresh chile: separate purchases.,,,,,,,
