row_kind,family,name_a,name_b,residue_reason,first_label,first_confidence,first_reason,arbiter_label,arbiter_confidence,arbiter_reason,base_is,yield_qty,yield_unit,co_harvestable,contradiction_detail,hans_verdict,hans_notes
TO_HUMAN,pepper_corn,bell peppers,green bell pepper,confidence_medium,SYNONYM,medium,Generic 'bell peppers' with no color specified; a shopper handed either name buys a bell pepper off the same shelf.,STILL_UNSURE,medium,"Colour-specific bell peppers are firmly DISTINCT from one another (red vs green vs yellow are separate shelf items). An unspecified-colour generic 'bell peppers' therefore cannot be synonymous with green without also being synonymous with red and yellow, which is impossible. The name carries no colour, so the purchase is genuinely underdetermined — a human should pick the canonicalisation policy for generic-vs-coloured produce.",,,,,,,
TO_HUMAN,pepper_corn,bell peppers,"green bell pepper, diced",confidence_medium,SYNONYM,medium,"'diced' is knife prep, not a different purchase; unspecified-color generic covers green.",STILL_UNSURE,medium,"Same issue as generic 'bell peppers' vs 'green bell pepper' ('diced' is only knife prep). The generic name specifies no colour, and the coloured variants are mutually DISTINCT, so no consistent SYNONYM/DISTINCT call follows from the names alone.",,,,,,,
TO_HUMAN,pepper_corn,bell peppers,red bell pepper,confidence_medium,SYNONYM,medium,Generic 'bell peppers' with no color specified covers red bell pepper.,STILL_UNSURE,medium,"Generic colour-unspecified 'bell peppers' vs a specific red bell pepper. Since red/green/yellow are mutually DISTINCT purchases, the generic cannot be synonymous with each; but a shopper holding red peppers does satisfy 'bell peppers', so DISTINCT is also wrong. Underdetermined by the names.",,,,,,,
TO_HUMAN,pepper_corn,bell peppers,yellow bell pepper,confidence_medium,SYNONYM,medium,Generic 'bell peppers' with no color specified covers yellow bell pepper.,STILL_UNSURE,medium,"Same generic-vs-colour ambiguity: 'bell peppers' names no colour, and yellow/red/green bell peppers are separate purchases, so neither SYNONYM nor DISTINCT can be asserted consistently.",,,,,,,
TO_HUMAN,pepper_corn,"green bell pepper, diced",large bell peppers,confidence_medium,SYNONYM,medium,Unspecified-color 'large bell peppers' covers green bell pepper; 'diced' is prep only.,STILL_UNSURE,medium,"'Large bell peppers' is colour-unspecified while the other name is specifically green; since the coloured variants are mutually DISTINCT, the generic cannot be synonymous with green and also with red/yellow. Underdetermined by the names.",,,,,,,
TO_HUMAN,pepper_corn,green bell pepper,large bell peppers,confidence_medium,SYNONYM,medium,Unspecified-color generic with a size adjective covers green bell pepper.,STILL_UNSURE,medium,"Colour-unspecified 'large bell peppers' vs specifically green: cannot be SYNONYM without also being SYNONYM to red and yellow, which are DISTINCT from green. The generic name does not identify the product.",,,,,,,
TO_HUMAN,pepper_corn,large bell peppers,red bell pepper,confidence_medium,SYNONYM,medium,Unspecified-color generic with size adjective covers red bell pepper.,STILL_UNSURE,medium,"Generic colour-unspecified 'large bell peppers' vs red bell pepper: no consistent verdict follows, since the coloured variants are mutually DISTINCT yet a red pepper does satisfy the generic requirement.",,,,,,,
TO_HUMAN,pepper_corn,large bell peppers,yellow bell pepper,confidence_medium,SYNONYM,medium,Unspecified-color generic with size adjective covers yellow bell pepper.,STILL_UNSURE,medium,Same generic-vs-colour ambiguity as the other 'large bell peppers' pairs; the name carries no colour information.,,,,,,,
SPOTCHECK,tomato,san marzano whole peeled tomatoes,tomato,auto_accepted,DISTINCT,high,Canned product vs fresh tomato.,DISTINCT,high,Canned San Marzano product vs fresh tomato.,,,,,,,
SPOTCHECK,tomato,canned whole peeled tomatoes,diced tomatoes,auto_accepted,DISTINCT,high,Whole peeled vs diced cans.,DISTINCT,high,Whole peeled can and diced can are different cans on the shelf.,,,,,,,
SPOTCHECK,tomato,canned fire-roasted diced tomatoes,fire-roasted diced tomatoes,auto_accepted,SYNONYM,high,"Same can, 'canned' implied.",SYNONYM,high,Fire-roasted diced tomatoes only exist as a can; 'canned' is redundant.,,,,,,,
SPOTCHECK,allium,"red onion, thinly sliced",yellow onion,auto_accepted,DISTINCT,high,Red and yellow onions are different products.,DISTINCT,high,Red and yellow onions are different varieties; the slicing note does not change that.,,,,,,,
SPOTCHECK,tomato,canned san marzano whole peeled tomatoes,whole peeled san marzano tomatoes,auto_accepted,SYNONYM,high,Word-order variant of the same can.,SYNONYM,high,Word-order variant of the same can.,,,,,,,
SPOTCHECK,allium,"red onion, thinly sliced","white onion, diced",auto_accepted,DISTINCT,high,Red and white onions are different products.,DISTINCT,high,Red and white onions are different varieties and separate purchases.,,,,,,,
SPOTCHECK,tomato,tomato,tomato passata,auto_accepted,DISTINCT,high,"Passata is a processed bottled product, a separate purchase.",DISTINCT,high,"Passata is a bottled strained-tomato product, a separate purchase from fresh tomatoes.",,,,,,,
SPOTCHECK,tomato,canned fire-roasted diced tomatoes,crushed fire-roasted tomatoes,auto_accepted,DISTINCT,high,Diced vs crushed cans.,DISTINCT,high,Diced vs crushed fire-roasted cans are different products.,,,,,,,
SPOTCHECK,allium,garlic head,head of garlic,auto_accepted,SYNONYM,high,"Same bulb, reversed wording.",SYNONYM,high,"Identical item, reversed wording for the whole bulb.",,,,,,,
SPOTCHECK,tomato,canned crushed san marzano tomatoes,canned san marzano whole peeled tomatoes,auto_accepted,DISTINCT,high,Crushed vs whole peeled are two different cans.,DISTINCT,high,Crushed can vs whole peeled can.,,,,,,,
SPOTCHECK,allium,medium yellow onion,yellow onion,auto_accepted,SYNONYM,high,Size adjective only; same yellow onion.,SYNONYM,high,Size adjective only; same yellow onion product.,,,,,,,
SPOTCHECK,tomato,canned diced tomatoes,canned diced tomatoes with green chiles,auto_accepted,DISTINCT,high,Plain diced vs diced with chiles: different cans.,DISTINCT,high,Plain diced tomatoes vs diced tomatoes with green chiles: different cans.,,,,,,,
SPOTCHECK,tomato,canned crushed san marzano tomatoes,san marzano whole peeled tomatoes,auto_accepted,DISTINCT,high,Crushed vs whole peeled cans.,DISTINCT,high,Crushed can vs whole peeled can.,,,,,,,
SPOTCHECK,tomato,crushed tomatoes,fire-roasted crushed tomatoes,auto_accepted,DISTINCT,high,Fire-roasted vs plain crushed can.,DISTINCT,high,Fire-roasted crushed is a separate can from plain crushed.,,,,,,,
SPOTCHECK,tomato,ripe roma tomatoes,"roma tomatoes, roughly chopped",auto_accepted,SYNONYM,high,Same roma tomatoes with a prep note.,SYNONYM,high,"Same roma tomatoes; ripeness and chopping are descriptors, not products.",,,,,,,
SPOTCHECK,allium,garlic,garlic powder,auto_accepted,DISTINCT,high,Dried ground spice jar versus fresh bulb.,DISTINCT,high,Dried ground garlic powder in a spice jar is a separate product from a fresh bulb.,,,,,,,
SPOTCHECK,allium,white onion,"yellow onions, finely diced",auto_accepted,DISTINCT,high,White and yellow onions are different products.,DISTINCT,high,White and yellow onions are different varieties; the dicing note is irrelevant.,,,,,,,
SPOTCHECK,tomato,canned crushed tomatoes,crushed tomatoes,auto_accepted,SYNONYM,high,Crushed tomatoes are sold canned; same product.,SYNONYM,high,Crushed tomatoes are sold canned; identical purchase.,,,,,,,
SPOTCHECK,pepper_corn,"black pepper, ground",ground black pepper,auto_accepted,SYNONYM,high,Same phrase reordered.,SYNONYM,high,"Identical product, phrase merely reordered.",,,,,,,
SPOTCHECK,allium,large yellow onion,red onion,auto_accepted,DISTINCT,high,Yellow and red onions are different products.,DISTINCT,high,Yellow and red onions are different varieties and separate purchases.,,,,,,,
SPOTCHECK,tomato,fresh tomatoes,whole canned tomatoes,auto_accepted,DISTINCT,high,Fresh vs canned tomatoes.,DISTINCT,high,Fresh produce vs a can.,,,,,,,
SPOTCHECK,allium,"red onion, thinly sliced",white onion,auto_accepted,DISTINCT,high,Red and white onions are different products.,DISTINCT,high,Red and white onions are different varieties and separate purchases.,,,,,,,
SPOTCHECK,allium,"yellow onions, finely diced","yellow onions, thinly sliced",auto_accepted,SYNONYM,high,"Same yellow onion, differing cut instruction.",SYNONYM,high,Same yellow onion; only the cut instruction differs.,,,,,,,
SPOTCHECK,tomato,condensed tomato soup,tomato,auto_accepted,DISTINCT,high,Canned soup vs fresh tomato.,DISTINCT,high,"Condensed tomato soup is a manufactured canned soup, not a tomato.",,,,,,,
SPOTCHECK,tomato,crushed fire-roasted tomatoes,tomato,auto_accepted,DISTINCT,high,Canned product vs fresh tomato.,DISTINCT,high,Canned fire-roasted crushed product vs fresh tomato.,,,,,,,
SPOTCHECK,tomato,canned san marzano crushed tomatoes,canned whole san marzano tomatoes,auto_accepted,DISTINCT,high,Crushed vs whole cans.,DISTINCT,high,Crushed can vs whole can.,,,,,,,
SPOTCHECK,tomato,crushed fire-roasted tomatoes,fire-roasted diced tomatoes,auto_accepted,DISTINCT,high,Crushed vs diced cans.,DISTINCT,high,Crushed can vs diced can.,,,,,,,
SPOTCHECK,allium,yellow onion,"yellow onions, finely diced",auto_accepted,SYNONYM,high,Dicing is a prep note on the same yellow onion.,SYNONYM,high,Dicing is a prep note on the same yellow onion purchase.,,,,,,,
SPOTCHECK,tomato,fresh tomatoes,ripe tomato,auto_accepted,SYNONYM,high,"Ripeness descriptor, same fresh tomato.",SYNONYM,high,Ripeness is a quality descriptor on the same fresh tomato.,,,,,,,
SPOTCHECK,tomato,canned crushed tomatoes,diced tomatoes,auto_accepted,DISTINCT,high,Crushed vs diced cans.,DISTINCT,high,Crushed can vs diced can.,,,,,,,
SPOTCHECK,allium,chili-garlic sauce,garlic,auto_accepted,DISTINCT,high,"Jarred chili-garlic sauce is a manufactured product, not fresh garlic.",DISTINCT,high,"Jarred chili-garlic sauce is a manufactured condiment, not fresh garlic.",,,,,,,
SPOTCHECK,allium,diced white onion,medium yellow onion,auto_accepted,DISTINCT,high,White onion and yellow onion are different products.,DISTINCT,high,White onion and yellow onion are different varieties; size/cut notes are irrelevant.,,,,,,,
SPOTCHECK,tomato,crushed tomatoes,whole peeled tomatoes,auto_accepted,DISTINCT,high,Crushed vs whole peeled cans.,DISTINCT,high,Crushed can vs whole peeled can.,,,,,,,
SPOTCHECK,tomato,canned whole peeled tomatoes,ripe tomato,auto_accepted,DISTINCT,high,Canned vs fresh tomatoes.,DISTINCT,high,Can vs fresh produce.,,,,,,,
SPOTCHECK,tomato,canned san marzano crushed tomatoes,canned san marzano whole tomatoes,auto_accepted,DISTINCT,high,Crushed vs whole cans.,DISTINCT,high,Crushed can vs whole can.,,,,,,,
SPOTCHECK,allium,onion,"red onion, thinly sliced",auto_accepted,DISTINCT,high,Red onion is a different variety from the default yellow onion.,DISTINCT,high,Red onion is a specified variety different from the default yellow onion.,,,,,,,
SPOTCHECK,tomato,canned san marzano whole peeled tomatoes,san marzano crushed tomatoes,auto_accepted,DISTINCT,high,Whole peeled vs crushed cans.,DISTINCT,high,Whole peeled can vs crushed can.,,,,,,,
SPOTCHECK,allium,scallions,"scallions, thinly sliced, for garnish",auto_accepted,SYNONYM,high,Same bunch of scallions with prep/usage notes.,SYNONYM,high,Same bunch of scallions with a cut and usage note.,,,,,,,
SPOTCHECK,pepper_corn,coarsely ground black pepper,roasted red peppers,auto_accepted,DISTINCT,high,Unrelated products.,DISTINCT,high,A ground spice and a jarred roasted vegetable; entirely different purchases.,,,,,,,
SPOTCHECK,tomato,canned whole san marzano tomatoes,tomato,auto_accepted,DISTINCT,high,Canned product vs fresh tomato.,DISTINCT,high,Canned San Marzano product vs fresh tomato.,,,,,,,
SPOTCHECK,tomato,crushed fire-roasted tomatoes,crushed tomatoes,auto_accepted,DISTINCT,high,Fire-roasted is a different can from plain crushed.,DISTINCT,high,Fire-roasted crushed is a separate can from plain crushed.,,,,,,,
SPOTCHECK,allium,large yellow onion,"white onion, diced",auto_accepted,DISTINCT,high,Yellow and white onions are different products.,DISTINCT,high,Yellow and white onions are different varieties and separate purchases.,,,,,,,
SPOTCHECK,oil_fat,neutral oil (such as vegetable or avocado oil),neutral vegetable oil,auto_accepted,SYNONYM,high,Both satisfied by one bottle of neutral vegetable oil.,SYNONYM,high,Both names are satisfied by a single bottle of neutral vegetable oil; matches the family's high-confidence spec-to-generic equivalences.,,,,,,,
SPOTCHECK,allium,large yellow onion,yellow onion,auto_accepted,SYNONYM,high,Size adjective only; same yellow onion.,SYNONYM,high,Size adjective only; same yellow onion product.,,,,,,,
SPOTCHECK,tomato,beefsteak tomato,"beefsteak tomatoes, thinly sliced",auto_accepted,SYNONYM,high,Same purchase; 'thinly sliced' is a prep note.,SYNONYM,high,'Thinly sliced' is a prep note on the same beefsteak tomato purchase.,,,,,,,
SPOTCHECK,allium,red onion,sliced green onions,auto_accepted,DISTINCT,high,Red bulb onion versus green onions.,DISTINCT,high,Red bulb onion versus bunched green onions — entirely different products.,,,,,,,
SPOTCHECK,allium,"yellow onion, roughly chopped","yellow onions, thinly sliced",auto_accepted,SYNONYM,high,"Same yellow onion, differing cut instruction.",SYNONYM,high,Same yellow onion; only the cut instruction differs.,,,,,,,
SPOTCHECK,tomato,canned whole san marzano tomatoes,crushed san marzano tomatoes,auto_accepted,DISTINCT,high,Whole vs crushed cans.,DISTINCT,high,Whole can vs crushed can.,,,,,,,
SPOTCHECK,tomato,beefsteak tomato,ripe beefsteak tomatoes,auto_accepted,SYNONYM,high,"'Ripe' is a quality descriptor, same product.",SYNONYM,high,'Ripe' is a quality descriptor on the same beefsteak tomato.,,,,,,,
SPOTCHECK,tomato,canned whole peeled tomatoes,whole canned tomatoes,auto_accepted,SYNONYM,high,Same can under two names.,SYNONYM,high,Canned whole tomatoes are the peeled ones; same can under two names.,,,,,,,
SPOTCHECK,tomato,canned diced tomatoes,ripe tomato,auto_accepted,DISTINCT,high,Canned vs fresh tomatoes.,DISTINCT,high,Canned diced tomatoes vs fresh ripe tomato.,,,,,,,
SPOTCHECK,pepper_corn,"black pepper, ground",white pepper,auto_accepted,DISTINCT,high,White pepper is a separate purchase.,DISTINCT,high,Black and white pepper are separate spice jars with different processing and flavour.,,,,,,,
SPOTCHECK,allium,large yellow onion,"yellow onion, diced",auto_accepted,SYNONYM,high,Same yellow onion with size/prep annotations.,SYNONYM,high,Same yellow onion with size and cut annotations.,,,,,,,
