bucket,ingredientId,canonicalName,isDeadPointer,oldFdcId,oldDescription,newFdcId,newDescription,newDataType,newCal,newFat,newProtein,newCarbs,runnerUpFdcId,runnerUpDescription,judgeReason,hansRuling
ESCALATE,465709f9-c999-4a56-a826-d352cbaab93b,beef broth,,171561,"Soup, beef broth, cubed, dry",171538,"Soup, beef broth or bouillon canned, ready-to-serve",SR Legacy,7,0.22,1.14,0.04,174557,"Soup, beef broth, bouillon, consomme, prepared with equal volume water",Ready-to-serve beef broth matches recipe usage; consomme/bouillon prepared is a close alternative.,
ESCALATE,0afb999a-7605-4df1-bd0f-3809e276ec1d,butter,,171314,"Butter, Clarified butter (ghee)",173410,"Butter, salted",SR Legacy,717,81.1,0.85,0.06,173430,"Butter, without salt",Recipe 'butter' is standard salted butter; unsalted is the plausible runner-up.,
ESCALATE,c2f5b970-8511-4145-9b7b-7a84ec5d3675,buttermilk,,171274,"Milk, buttermilk, dried",172225,"Milk, buttermilk, fluid, whole",SR Legacy,62,3.31,3.21,4.88,170874,"Milk, buttermilk, fluid, cultured, lowfat","Buttermilk in recipes is fluid; whole (1) is default, but cultured lowfat (5) is the common commercial buttermilk.",
ESCALATE,4efd3dd1-7fa6-42b1-bfe4-7ea5793701b5,canned black beans,,171141,"Soup, black bean, canned, condensed",175188,"Beans, black turtle, mature seeds, canned",SR Legacy,91,0.29,6.03,16.6,175238,"Beans, black, mature seeds, canned, low sodium",Black turtle beans canned matches; low-sodium variant (2) is close runner-up.,
ESCALATE,f3287ad9-32a4-4a9b-b701-0faa71228100,chicken broth,,171110,"Chicken, canned, no broth",174536,"Soup, chicken broth, ready-to-serve",SR Legacy,6,0.21,0.64,0.44,174551,"Soup, chicken broth, canned, prepared with equal volume water",Ready-to-serve chicken broth fits typical recipe usage; canned prepared-with-water is close runner-up.,
ESCALATE,7f8cf47c-a74f-4f20-92fc-6ebe029f9be5,coconut milk,,174116,"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2",170173,"Nuts, coconut milk, canned (liquid expressed from grated meat and water)",SR Legacy,197,21.3,2.02,2.81,170172,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",Recipe coconut milk is typically canned; raw (7) is the whole-food alternative.,
ESCALATE,aad2eda0-7fba-41a2-8702-15fdec421686,crusty artisan bread loaf,,173261,"Pillsbury, Crusty French Loaf, refrigerated dough",174913,"Bread, Italian",SR Legacy,259,2.73,9.49,48.1,167944,"Bread, cheese","Crusty artisan loaf best matches Italian bread (lean, crusty); cheese bread is a plausible alternative but not plain artisan.",
ESCALATE,255aedc9-13a9-4639-96d7-cfb8de89ef6b,flour tortilla,,175037,"Tortillas, ready-to-bake or -fry, flour, refrigerated",167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",SR Legacy,297,7.58,8.01,49.3,175037,"Tortillas, ready-to-bake or -fry, flour, refrigerated",Shelf-stable flour tortilla is the most generic ready-to-use match; refrigerated variant is close runner-up.,
ESCALATE,d69f55dc-1073-454f-9104-5c7815432139,flour tortillas,,175037,"Tortillas, ready-to-bake or -fry, flour, refrigerated",167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",SR Legacy,297,7.58,8.01,49.3,175037,"Tortillas, ready-to-bake or -fry, flour, refrigerated","Flour tortillas ready-to-use; shelf stable is most typical, refrigerated is close runner-up.",
ESCALATE,c336da16-8447-44b5-976a-a26f1566c47c,fresh mint,,168766,"Candies, NESTLE, AFTER EIGHT Mints",173475,"Spearmint, fresh",SR Legacy,44,0.73,3.29,8.41,173474,"Peppermint, fresh","Generic 'mint' most commonly refers to spearmint, but peppermint is also plausible.",
